n,time
722,10986
1895,77768
1192,30026
1194,31027
336,3004
1682,60533
838,15013
1557,52614
52,1001
678,10137
1713,63737
1770,69643
615,8007
94,0
1045,24021
395,4004
998,22071
633,9008
1927,81116
1737,65745
193,1001
956,20017
614,8008
396,3002
904,17015
1588,55506
1208,39036
543,7495
1524,51580
1358,39035
1429,44379
1426,43039
434,4676
992,21019
1196,30027
1371,40037
1107,26753
974,20020
400,3002
1986,84572
1062,24023
449,5006
518,5004
1320,37034
222,1001
644,8007
1442,43990
1881,74942
95,0
1104,25454
1294,35031
1391,42287
212,1001
1217,31563
1706,62057
1443,45061
624,9008
1597,54049
1624,57247
1960,82074
786,13224
70,0
207,0
1444,44039
858,16015
1216,31028
449,4005
253,1001
1957,81073
1120,26595
1111,27494
80,0
1547,51448
1167,28560
192,1001
928,18016
1723,63465
760,12011
981,20019
492,6006
1831,71184
601,7007
734,11010
1489,46597
725,12012
284,1001
742,12012
661,10010
259,1000
1684,61347
615,8007
1495,47198
133,0
1255,34031
630,8088
735,11010
573,7006
881,17014
932,18424
144,1001
1882,76058
299,2001
1415,43572
1732,65476
7,0
1372,39081
464,5004
1896,77721
575,7006
1841,72066
1615,56051
656,9843
701,10009
1746,65816
250,1000
1236,33028
790,13011
1786,68954
1413,42577
1196,31818
535,6005
1719,63955
1889,74947
1005,22020
1118,29247
1655,60396
83,0
1157,30028
146,1000
1041,24021
400,3002
1394,43634
747,12010
543,7006
1076,24805
1857,75068
1793,72481
796,14014
146,1000
1974,83421
1612,60264
146,0
1692,61747
967,20018
1255,34522
1519,49842
1679,59322
312,2001
1345,39035
587,7005
1183,30028
1249,33030
194,1001
944,19018
210,1001
250,1001
579,7006
1931,80043
464,5004
543,6005
982,20243
228,1001
611,8007
216,1001
19,0
698,11010
1585,53466
1416,44510
530,6005
1336,44040
119,1001
249,1001
841,15684
1345,39803
149,1001
1791,69318
1696,62057
1697,62264
1139,27770
548,6005
735,12012
326,2002
422,4004
1034,22021
927,18017
1128,28025
936,19017
1507,48044
373,3002
1271,35671
1591,53622
1273,34569
1305,36472
773,13012
119,0
1321,38593
1023,22019
1063,25024
1201,31029
1652,60908
573,7006
233,1000
1450,45918
1707,62504
1153,30543
801,14013
394,5194
200,1001
1526,54657
1024,24022
1203,33030
797,14042
1402,49295
88,0
1862,85844
560,7006
1345,44500
1886,81951
968,22020
837,15149
879,20198
1710,66332
987,24022
874,24022
621,12011
677,15694
1016,24799
1758,71888
1486,52046
1904,79974
377,3002
20,0
1975,95731
741,13013
1920,88748
1340,41038
520,6007
1755,70783
520,5005
826,15013
1874,78624
729,12011
1192,31564
1803,71998
224,1000
1938,85938
615,9008
598,8007
1160,31027
284,2002
1343,44519
1725,71580
1861,88466
764,14013
945,21019
455,5006
1242,35208
82,0
654,9007
1817,73619
146,1002
1631,59054
252,1001
800,13586
809,14013
396,4004
1731,65074
678,10010
544,7006
1466,46053
789,14012
1101,26151
1712,63663
1070,25022
288,2002
141,1001
769,13013
953,21576
882,17016
723,12010
261,1001
1699,66059
195,1001
1230,35287
538,6006
1921,79679
1278,35855
1281,36034
153,1001
211,1001
535,6005
843,15014
260,1002
740,12011
904,19016
1780,69063
1981,86960
1810,71236
1383,40917
806,15014
46,0
859,16016
691,10009
953,19036
402,4004
811,14012
1826,71508
442,4004
1427,43489
1131,27576
643,9009
115,1000
1408,42038
988,21019
1143,27474
1074,24022
413,4004
1192,30278
107,1001
97,0
1646,57392
1870,74474
1471,46041
1127,27026
669,9008
16,0
924,19017
151,0
1418,43086
25,0
1237,32028
1807,69418
1606,55584
901,17014
314,2002
1594,54678
1790,69667
50,0
441,4004
1768,67535
617,8008
282,2003
462,5005
486,5005
890,17015
790,13752
198,0
1550,52047
845,15014
861,16015
1164,29026
1117,27024
1607,56055
1523,49044
1735,64058
1920,78045
309,2002
1806,69918
32,0
1978,82516
1154,28393
1194,30027
400,3003
1217,31460
1641,57453
1723,64683
1768,65471
964,20017
571,7006
534,6005
486,5005
349,3003
1543,50044
588,7006
236,1001
383,4003
1612,56051
1077,25658
1584,53601
1213,31028
950,19017
814,14013
212,1001
1175,30027
589,8006
785,13011
130,0
351,3003
746,12011
1294,36033
1685,61525
937,19018
920,18719
1706,61942
17,0
678,9008
1066,24022
275,2002
686,10009
1997,84397
1508,49044
1000,21574
303,2002
1528,50036
978,22020
198,1002
1105,26570
942,18611
117,0
184,1000
1374,42069
1993,85508
407,4004
724,11011
1721,63565
1728,64478
129,0
802,13012
183,1001
546,6005
1117,26052
366,4003
1724,62948
1696,62058
1964,81463
1455,45984
1866,73607
1676,59966
671,10009
715,11010
1296,36361
1288,36034
373,3003
259,2002
675,9032
692,10009
1521,48501
1678,61055
1749,66027
416,3004
772,13012
902,17015
1550,51887
1386,41040
1325,38062
215,992
1062,25024
1902,76997
1097,27024
1966,83075
443,5046
351,2001
202,1002
1092,26024
621,8007
252,1001
195,0
150,0
924,18017
1873,75552
1657,58572
968,19017
321,2001
1694,60590
706,10009
1107,26024
1866,73931
823,14012
1363,38576
1275,35032
1295,36624
890,17016
1570,53524
642,9008
506,5005
1782,67637
886,17015
632,8007
1744,65059
1996,84436
1347,38034
198,0
782,13012
1168,29026
735,12012
955,19017
1831,71064
288,1433
820,15014
1133,27556
1113,26372
567,7007
1488,47583
311,2001
280,2002
1324,38034
254,2002
552,7007
103,0
1386,42173
855,15013
1496,48497
507,6005
1404,43682
1172,30028
682,10008
920,19017
1738,63502
696,11011
1979,84536
1512,48799
1538,52578
1140,30566
505,6005
401,4004
161,1001
876,16947
1320,37568
1279,36538
629,10009
380,4004
1489,52043
1838,73067
549,6004
1057,24021
823,14013
1643,59354
514,6006
327,2002
1156,29026
1572,55050
356,3002
1934,85580
581,8008
1808,72636
71,0
92,1001
1998,86093
692,11010
1444,47993
939,19017
246,1001
1473,46450
973,20019
1362,39412
214,1001
1850,72980
1297,36032
786,14169
1549,51046
396,3507
1804,69143
132,0
1390,41038
185,1000
890,16361
1948,80424
1221,30578
1417,42220
1316,37034
1138,27024
1506,48479
166,0
1622,56053
948,19017
1161,28025
536,7007
318,2002
848,15317
684,10010
1719,62899
1538,50045
445,3579
1966,81242
345,3003
1508,47373
921,18017
1225,32028
1808,69106
1007,22008
493,5005
1738,64060
1840,70947
147,0
209,1001
756,12011
51,1001
1616,55317
1619,55052
807,14013
585,7006
305,2001
109,0
1292,35561
1916,76933
922,18017
1420,43269
359,3003
1914,77546
157,0
194,0
740,11009
1178,29064
755,12012
1411,41986
1785,67570
1358,39036
1640,56229
982,21019
166,1001
1716,62057
1588,53048
1505,49083
1989,83887
1838,71065
1877,74601
1211,32029
1105,26024
1436,44041
118,0
62,1000
515,5005
1066,24610
528,6005
129,0
1810,68957
233,2002
1693,61019
1215,31030
1461,45376
1545,50003
1228,33029
505,5004
298,2001
1160,28478
1934,79333
1112,26023
1544,50580
1965,81608
1904,76502
795,14013
1649,57518
458,5004
832,15014
497,5005
248,1000
487,5004
642,9007
1165,29843
1186,30028
1630,57052
261,1001
467,4005
310,2002
1406,41869
1227,32029
207,1001
1861,72966
493,6005
1793,68643
202,1000
1838,71366
1601,54580
655,9008
1159,29026
1122,26609
449,4004
1433,44040
357,3002
445,4005
236,2001
490,5008
1073,24022
133,0
594,8008
1129,27024
29,0
404,3004
308,2003
375,3002
1718,63556
526,6006
658,9009
1218,31028
345,2002
1035,22570
834,14013
1046,23021
1669,58053
1049,23994
1101,26024
824,14012
1202,30302
499,6005
1019,22078
1576,52621
752,12554
327,2001
1329,36494
1595,54049
1308,36032
147,1001
696,10009
701,10009
586,7006
1501,48044
770,12010
1476,46041
1915,77882
1687,60054
236,1001
1936,79072
845,16014
710,11011
492,5003
1192,31028
786,12969
237,1002
34,0
715,11010
940,18551
1570,51460
1088,25022
1688,62057
1080,24461
1191,30027
913,18016
73,0
511,5005
844,15014
238,1002
982,21019
532,6006
1239,31892
1752,64734
325,2002
490,5005
1228,32030
1681,60055
961,20018
1456,45041
552,6004
1363,40900
1338,38035
