n,time
13,11010
5,0
20,3063216
20,3219958
6,0
15,56141
18,631131
3,0
15,57108
5,0
8,0
6,0
3,0
6,0
13,12012
9,0
16,136123
19,1416560
3,0
6,0
8,0
8,1001
7,0
18,639470
16,126116
18,626599
20,3011459
17,282034
13,11008
8,0
15,58300
8,0
19,1361788
4,0
15,56051
14,24021
6,0
18,613889
16,123888
7,0
19,1347439
6,0
7,1001
6,0
4,0
14,24022
4,0
17,276165
12,5004
8,0
4,0
16,121509
12,5343
9,0
8,1001
11,2002
9,0
5,0
5,0
8,0
17,275431
12,5554
7,0
13,11010
20,2984673
18,620671
19,1390964
3,0
16,124830
14,25023
17,281676
18,610484
18,612355
7,0
4,0
18,610022
14,25023
3,0
17,281121
12,5005
19,1363759
7,0
17,281106
18,614719
4,0
17,293419
9,1001
16,127821
9,1001
18,623204
3,0
8,0
10,1000
6,0
11,2002
6,0
5,0
6,0
8,0
15,58437
15,58143
13,13012
3,0
14,25927
3,0
10,1001
8,0
17,283433
12,5005
20,3361162
6,0
19,1538204
9,0
18,737104
14,29020
7,0
7,0
12,5004
5,0
15,61027
5,0
6,0
9,0
6,1000
8,0
16,134016
19,1395499
8,0
12,5004
11,2002
18,621075
3,0
12,4981
10,1001
16,126328
9,0
15,55044
17,278676
4,0
9,1000
16,123386
4,0
7,0
5,0
19,1374778
4,0
5,0
4,0
3,0
7,0
7,0
17,279370
15,54590
11,2001
20,2983384
6,0
12,5006
17,276005
11,2002
12,5007
5,0
4,0
5,0
5,0
11,2002
17,276031
19,1379147
12,5660
10,1386
3,0
9,505
17,287814
12,5005
16,123005
7,0
8,994
18,610895
6,0
12,4004
10,1001
18,610880
4,0
6,0
3,0
3,0
10,1014
7,0
5,0
4,0
10,989
18,616415
9,0
19,1352110
12,4992
19,1350358
15,53669
11,2998
11,1441
12,5005
12,5292
9,0
11,2001
7,0
20,2957635
17,278125
11,1995
12,5005
12,4015
16,120973
19,1357470
15,53815
8,1001
19,1357197
6,0
12,5005
14,23951
6,0
20,2998200
14,27001
11,2016
14,24800
9,0
16,132195
10,1002
15,55623
11,2003
10,1001
11,3002
3,0
11,3002
8,0
13,13012
5,0
14,29292
19,1441782
8,0
19,1479115
11,2001
13,11745
13,11037
15,56754
18,651135
11,2470
3,0
9,0
10,994
16,129536
5,0
16,128560
9,995
18,641419
